Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GD,LMT,NOC,XLK,GD,LMT,NOC,XLK,GD,LMT,NOC,XLK,GD,LMT,NOC,XLK,GD,LMT,NOC,XLK,GD,LMT,NOC,XLK
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,153.6619110107422,337.60919189453125,321.11859130859375,44.294193267822266,178.42999267578125,399.3699951171875,355.70001220703125,46.69499969482422,179.0399932861328,399.3699951171875,355.70001220703125,46.69499969482422,176.9199981689453,390.95001220703125,343.6199951171875,46.15999984741211,177.4499969482422,392.8599853515625,344.44000244140625,46.25,1472100,1258400,941900,26567000
2020-01-03,155.16900634765625,349.75689697265625,338.55133056640625,43.79617691040039,180.17999267578125,413.739990234375,375.010009765625,46.16999816894531,180.42999267578125,417.1700134277344,375.82000732421875,46.4900016784668,178.0,403.0,366.3699951171875,46.0099983215332,178.0,404.0199890136719,368.1499938964844,46.01499938964844,1662200,2990100,2600300,30023600
2020-01-06,156.8138885498047,349.22442626953125,339.2915954589844,43.900516510009766,182.08999633789062,413.1099853515625,375.8299865722656,46.279998779296875,182.97999572753906,417.989990234375,382.260009765625,46.33000183105469,181.0,407.69000244140625,372.5799865722656,45.625,181.5500030517578,417.989990234375,379.95001220703125,45.709999084472656,1957000,2477800,2130000,15630000
2020-01-07,155.03128051757812,350.3994140625,338.51519775390625,43.88154602050781,180.02000427246094,414.5,374.9700012207031,46.2599983215332,181.6300048828125,416.1199951171875,376.7099914550781,46.4900016784668,179.75,408.2900085449219,371.0899963378906,46.189998626708984,180.4199981689453,411.25,373.6199951171875,46.36000061035156,1454600,1059900,863600,15363600
2020-01-08,155.42739868164062,347.46600341796875,334.2901611328125,44.35110092163086,180.47999572753906,411.0299987792969,370.2900085449219,46.755001068115234,181.94000244140625,418.17999267578125,379.2699890136719,46.959999084472656,179.60000610351562,409.7200012207031,367.1000061035156,46.224998474121094,180.1999969482422,417.05999755859375,376.20001220703125,46.310001373291016,1226400,1708100,1312400,23254400
2020-01-09,156.40052795410156,350.7629089355469,336.1588439941406,44.853843688964844,181.61000061035156,414.92999267578125,372.3599853515625,47.28499984741211,182.91000366210938,416.0,373.5,47.314998626708984,180.9600067138672,410.0,369.1700134277344,46.94499969482422,181.0,410.489990234375,370.55999755859375,47.185001373291016,1581600,1064300,741500,15554800
2020-01-10,154.59201049804688,349.8329772949219,337.9915466308594,44.74950408935547,179.50999450683594,413.8299865722656,374.3900146484375,47.17499923706055,181.7899932861328,415.6000061035156,375.0,47.55500030517578,179.41000366210938,412.4800109863281,369.760009765625,47.095001220703125,181.50999450683594,415.0,372.3699951171875,47.4900016784668,831700,987800,1178200,15330600
2020-01-13,155.9871826171875,354.22039794921875,340.19427490234375,45.309165954589844,181.1300048828125,419.0199890136719,376.8299865722656,47.76499938964844,182.08999633789062,420.9599914550781,377.760009765625,47.81999969482422,180.0399932861328,414.6600036621094,374.80999755859375,47.3650016784668,180.24000549316406,414.94000244140625,375.7300109863281,47.38999938964844,898000,986800,667400,15524400
